Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
High Crimes,1977,Condor Club (Columbus and Broadway),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman
High Crimes,1977,Chase H & Q  (1 Bush Street at Sansome),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman
High Crimes,1977,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman
High Crimes,2002,391 Pennsylvania Avnue at 19th Street,,Twentieth Century Fox Corporation,Twentieth Century Fox Corporation,Carl Franklin,Yuri Zeltser,Ashley Judd,Morgan Freeman,
Homeward Bound II: Lost in San Francisco,1996,Pier 39 (Fisherman's Wharf),,Walt Disney Pictures,Buena Vista Pictures,David R. Ellis,Sheila Burnford,Michael J. Fox,Sally Field,
House of Sand and Fog,2003,,,DreamWorks SKG,DreamWorks Distribution,Vadim Perelman,Vadim Perelman,Jennifer Connelly,Ben Kingsley,
How Stella Got Her Groove Back,1998,Marriot Hotel (55 4th Street at Market),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Kevin Rodney Sullivan,Terry McMillan,Angela Bassett,Taye Diggs,Whoppi Goldberg
Hulk,2003,Vallejo Street at Sansome,,Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,Sam Elliot
Hulk,2003,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,Sam Elliot
Hulk,2003,Telegraph Hill,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,Sam Elliot
Hulk,2003,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,Sam Elliot
I Remember Mama,1948,The Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,
I Remember Mama,1948,Grant Avenue (North Beach),,RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,
I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,
Indiana Jones and the Last Crusade,1989,Administration Building (Treasure Island),"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Paramount Pictures,Paramount Pictures,Steven Spielberg,Jeffrey Boam,Harrison Ford,Sean Connery,
Innerspace,1987,Telegraph Hill,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan
Innerspace,1987,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan
Innerspace,1987,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan
Interview With The Vampire,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise
Interview With The Vampire,1994,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise
Interview With The Vampire,1994,6th Street On-ramp to Highway 280,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise
Interview With The Vampire,1994,100 Market Street at 6th Street,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise
Invasion of the Body Snatchers,1978,United Nations Plaza (Civic Center),United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,Transamerica Building (600 Montgomery Street at Clay),"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center. ",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,San Francisco Drydock (20th and Illinois Streets),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,"Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center)",,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,Lafayette Park (Pacific Heights),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,"Department of Public Health (101 Grove Street at Polk, Civic Center)",,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,Broadway Tunnel (Russian Hill),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,32 Napier Lane,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,
I's,2011,1 Post Street,,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,
It Came From Beneath the Sea,1955,Hunters Point,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,,
It Came From Beneath the Sea,1955,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,,
It Came From Beneath the Sea,1955,Chrissy Field,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,,
Jack,1996,,,American Zoetrope,Buena Vista Pictures,Francis Ford Coppola,James DeMonaco,Robin Williams,Diane Lane,Jennifer Lopez
Jade,1995,Washington Square (North Beach),"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach.",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,Palace of Fine Arts,"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,Lombard & Hyde Streets,,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,Hall of Justice (850 Bryant Street),,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,Fior d' Italia (601 Union Street at Stockton),,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jade,1995,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Jagged Edge,1985,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Maria Mayenzet,,
Jagged Edge,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Maria Mayenzet,,
James and the Giant Peach,1996,,,Skellington Productions,Walt Disney Studios Home Entertainment,Henry Selick,Karey Kirkpatrick,Richard Dreyfuss,Jane Leeves,Joanna Lumley
Joy Luck Club,1993,Horace Mann School (3351 23rd Street),,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Joy Luck Club,1993,Hang Ah Alley (Chinatown),,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Joy Luck Club,1993,901 Union Street,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Joy Luck Club,1993,610 Rhode Island Street (Potrero Hill),,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Joy Luck Club,1993,375 Laguna Honda Blvd.,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Joy Luck Club,1993,180 Manchester Street,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chung,,
Julie and Jack,2003,,,Moviehead Pictures,Echelon Entertainment,James Nguyen,James Nguyen & Joe Bright,Jenn Gotzon,Tippi Hedren,
Junior,1994,United Nations Plaza (Civic Center),United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
Junior,1994,"Fairmont Hotel (950 Mason Street, Nob Hill)",,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
Junior,1994,Chinatown Gate,"Designed in 1970, the Chinatown Gate (aka the Dragon Gate) is based on ceremonial gates found in Chinese villages. ",Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
Junior,1994,722 Steiner Street,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
Junior,1994,2552 Hyde Street,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
Just Like Heaven,2005,,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan,Reese Witherspoon,Mark Ruffalo,
Just One Night,2000,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Panoptic Pictures,First Look International,Alan Jacobs,Alan Jacobs,Timothy Hutton,Maria Grazia Cucinotta,
Kamikaze Hearts,1986,Market Street Between Noe and Sanchez,,Leger/Bashore,Facets Multimedia Distribution,Juliet Bashore,Juliet Bashore,,,
Knife Fight,2012,California & Hyde Streets,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Jennifer Morrison,Eric McCormack,Jamie Chung
Knife Fight,2012,City Hall,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Jennifer Morrison,Eric McCormack,Jamie Chung
Knife Fight,2012,Green & Laguna Streets,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Jennifer Morrison,Eric McCormack,Jamie Chung
Live Nude Girls Unite,2000,Lusty Lady Bar (North Beach),,Constant Communication,First Run Features,Vicky Funari,Vicky Funari,,,
Love & Taxes,2011,20 Hill Street,,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,
Love & Taxes,2011,The Marsh Theatre (1062 Valencia Street),,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,
Love & Taxes,2011,198 Gough Street,,Bad Company Films,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,
Magnum Force,1973,Vermont Street between 20th and 22nd Streets,,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,,
Magnum Force,1973,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,,
